bowler,runs_conceded,balls_bowled,wickets_taken,economy
BE Hendricks,101,92,6.0,6.586956521739131
BE Johnson,36,12,0.0,18.0
BF Mailata,107,76,4.0,8.447368421052632
BF Smith,49,56,2.0,5.25
BFW de Leede,580,434,28.0,8.018433179723502
BG Illing,18,27,2.0,4.0
BG Lister,222,150,7.0,8.879999999999999
BJ Bennett,79,63,4.0,7.523809523809524
BJ Currie,119,98,7.0,7.285714285714285
BJ Diamanti,20,12,0.0,10.0
BJ Dwarshuis,439,277,19.0,9.509025270758123
BJ Hodge,25,19,1.0,7.894736842105264
BJ McCarthy,875,610,33.0,8.60655737704918
BJ McMullen,69,50,1.0,8.28
BK Stroud,82,79,3.0,6.227848101265822
BM Anusha,24,29,1.0,4.9655172413793105
BM Halliday,90,79,8.0,6.835443037974684
BM Scholtz,822,770,31.0,6.405194805194805
BM Tickner,258,169,8.0,9.159763313609467
BM Wheeler,107,77,5.0,8.337662337662337
BMA Mbida,210,189,5.0,6.666666666666667
BMAJ Mendis,103,85,5.0,7.270588235294117
BMSM Kumari,817,755,31.0,6.49271523178808
BN Toube,171,134,6.0,7.656716417910448
BP Adapaka,133,114,3.0,7.0
BRM Taylor,20,24,1.0,5.0
BS Stephenson,150,136,4.0,6.61764705882353
BTJ Wheal,233,154,8.0,9.077922077922077
BV Sears,222,162,9.0,8.222222222222223
