batter,total_runs,balls_faced,times_out,strike_rate,average,team
A Rangaswamy,3,3,1.0,100.0,3.0,Botswana
A Rautela,10,43,2.0,23.25581395348837,5.0,Norway
A Raza,222,135,12.0,164.44444444444443,18.5,Belgium
A Razmilic,11,22,2.0,50.0,5.5,Croatia
A Reddy,65,47,6.0,138.29787234042556,10.833333333333334,India
A Reyes,98,119,7.0,82.35294117647058,14.0,Gibraltar
A Saifee,0,2,1.0,0.0,0.0,Austria
A Salomao,58,121,10.0,47.93388429752066,5.8,Mozambique
A Samildeen,6,35,2.0,17.142857142857142,3.0,Bahrain
A Sangare,0,6,1.0,0.0,0.0,Mali
A Sarma,9,11,1.0,81.81818181818183,9.0,Germany
A Sathyan,10,15,0.0,66.66666666666666,10.0,Croatia
A Saud,29,21,1.0,138.0952380952381,29.0,Nepal
A Savvani,51,105,4.0,48.57142857142857,12.75,Greece
A Scantlebury,8,19,1.0,42.10526315789473,8.0,Barbados
A Shahi,85,42,4.0,202.3809523809524,21.25,Cyprus
A Sharafu,689,507,24.0,135.8974358974359,28.70833333333333,United Arab Emirates
A Sharma,133,131,8.0,101.52671755725191,16.625,United Arab Emirates
A Shreshta,215,210,10.0,102.38095238095238,21.5,Nigeria
A Shrubsole,82,66,3.0,124.24242424242424,27.33333333333333,England
A Shukla,22,40,7.0,55.00000000000001,3.142857142857143,Croatia
A Simelane,36,36,4.0,100.0,9.0,South Africa
A Sokovagone,86,65,4.0,132.3076923076923,21.5,Fiji
A Sootaga,56,74,3.0,75.67567567567568,18.666666666666668,Samoa
A Stocks,99,162,6.0,61.11111111111112,16.5,Argentina
A Stoilova,2,24,3.0,8.333333333333332,0.6666666666666666,Bulgaria
A Sutherland,133,101,13.0,131.68316831683168,10.23076923076923,Australia
A Suwanchonrathi,156,216,13.0,72.22222222222221,12.0,Thailand
A Symonds,292,173,5.0,168.78612716763007,58.4,Australia
A Tagilala,1,11,2.0,9.090909090909092,0.5,Fiji
